,num,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,weight
945,29507,29508,B000PDY3P0,AP1N9Y6K40YNW,Julie,2,2,3,1342915200,"Captures that movie theater taste, but far from perfect","I purchased this product for use with my new Maxi-Matic popcorn machine, with the goal of producing that movie-theater taste that none of my previous popping efforts had replicated. These portion packs succeed in that the flavor is spot-on. They might even be better than what you'd get in a theater because the flavor is so fresh when just popped.<br /><br />Unfortunately, the flavor alone doesn't make this a great purchase. As others have mentioned, the texture of the popped corn varies widely. Of four pre-portioned packages that we've popped so far, three produced stale, chewy popcorn. When we tried the fourth batch using the packaged butter salt and coconut oil with an equivalent amount of another brand's popcorn that we had on hand, it was much more tender.<br /><br />Also, if the packs are poured directly into the kettle as intended, the resulting popcorn is almost inedibly salty. Much more palatable results were produced using about half of the packaged amount. But by the time you're customizing the pour, the 'convenience' factor of these packages is shot. Not that they're very convenient, anyway - the 4 oz. portion was very difficult to transfer into our 4 oz. kettle. The bag is very big compared to the working space inside the heated kettle elements, and it's almost impossible to make popcorn without oil, salt, and kernels falling all over the place or dripping all over the bag.<br /><br />Considering the portion issues and difficulty of use, in the future I'll be buying the three components separately. I'd stick with this company's coconut oil and butter salt, but would likely get different corn.",2.3452707615094163e-05
1316,233494,233495,B004WJATHO,A24OX6XLW4L331,OKCJohn,0,0,3,1342224000,You will love it or hate it...no in between,"I ordered it but didn't realize that it was flavored coffee.  I can drink just about any coffee flavored or not.  The description says lightly flavored which I think is a little off.  There is a distinct coconut flavor to the coffee.  If you like coconut, you will love this coffee.  If you like no flavor or coffee with a hint of flavor, pass this one up.",2.3452707615094163e-05
1228,512237,512238,B0029K3EJS,AKNCY5WCXLQ4H,"Sheryl L. Kok ""Blondie""",15,15,3,1255737600,Ok but most cans dented,"Obviously this company is off-loading its dented cans via internet shoppers.  Out of twelve cans I received, only one was in pristine condition.  Three of them were severely dented to the point that I would never have bought them if I had been at my local grocery store. I don't think the seals have been compromised but it is borderline.  The other eight cans all have small dents and scuffs as if they had been dropped at some point- cosmetic damage only.  I am happy to have the product as my local grocery stores are having trouble getting canned pumpkin and I am craving some pumpkin pie, but I think Osbo should disclose the fact that it is selling dinged cans and not send the really bad ones at all.  I will avoid this company in the future because of this lack of disclosure.",2.3452707615094163e-05
124,256578,256579,B003JA5KBW,A7JGEKN140F4S,"Keith ""kc31824""",0,0,3,1323907200,Take a vitamin instead,"Doesn't taste very good, and I'm not sure the health benefits are that useful relative to taking a vitamin.  Get a jar of Pom juice from the market and use that to wash down a multivitamin instead...",2.3452707615094163e-05
1455,8540,8541,B003VXFK44,A2VBTN6ZR67YOF,Mike Jacobs,0,0,3,1306972800,A little too much bitterness & acid,"This is less of a ""bold"" flavor and more of an acidic and bitter coffee. My wife is easy to please and she's not a fan. I'll finish the box but I reach of others first.",2.3452707615094163e-05
858,152216,152217,B004OVATO8,A3VC7USARJ95WK,Gwen,0,1,3,1340150400,Not bad,"So far the one box I opened didn't make me sick or anything, so I'm assuming the other three boxes I ordered will be around the same quality. It's a little salty for my taste, but the bars have good ingredients and seem to be of high quality. I'd recommend trying.",2.3452707615094163e-05
653,208169,208170,B005HGAV7O,A28SX2HB35APYX,Richard,2,2,3,1325116800,I like tea.,"Got the my order, opened the box, and the first thing I notice is there is no package for the cups. Fine by me. Look through the box, didn't get nearly close to the advertised cups. Has all the flavors, just not the right amounts. I only got one of the oranges and it wasn't Celestial Seasonings, got about 8 of both Sleepytime and Lemon Zinger, and 7 of the Cozy Chamomile and Mint Melody and finally a few random ones like a Gloria Jean's Peppermint. All the tea and cups were fine I just didn't get the right amounts. Can't complain though, I like tea.",2.3452707615094163e-05
1303,385157,385158,B005VOOM5E,A16WPA6JV83YXT,"Sandra Trolinger ""trolsgirl""",0,1,3,1334448000,Pleasant but nothing to get excited about,"I love coffee and I start my day with it and I drink half a pot in the evenings too.  So I was excited to try this blend but it was not as exciting as the description on their website. The scent was fragrant and inviting but the taste fell flat. After drinking 3 cups I think it is a bit bitter and it has an aftertaste with no hint of the ""floral notes and reveals hints of blueberry, cocoa and spice. This well-rounded coffee features a bright acidity. One Love tantalizes your palate, and leaves a profound cherry finish"" as described by their enthusiastic marketing department.  Try Komodo Dragon by Starbucks instead. Bob Marley needs to stick with his day job.",2.3452707615094163e-05
104,446219,446220,B00653S7II,A25JYR0CYSD0U7,heathermartin1,1,3,1,1324857600,WAYY overpriced,this price is a joke right? the cherries and blueberries both are one dollar at walmart. But unfortunately my walmart only has the cherries(which are delicious). But I wanted to try their blueberries. but not for ths price. I'll just wait until the holiday season next year i guess.,1.2193337560357022e-05
757,254004,254005,B000IZ3GXA,A1NBTOK1P2O3YV,aihebb,0,0,1,1323561600,Disappointed,"I'd like to try something different and chose this one. I was so disappointed, tasted plain, cannot be compared with <a href=""http://www.amazon.com/gp/product/B001EQ56T4"">Ferrara Instant Espresso Coffee, 2-Ounce Glass Jars (Pack of 6)</a>.I used the latter in Baking and it worked perfectly. I don't even want to try this in my cake recipe!<br /><br />The worse thing is I cannot return this item and don't know what should I do with the rest. It may be my personal taste, but it is better to just buy one jar at the first time to see whether you like it or not.",1.2193337560357022e-05
